STATUS | wrapper  | 2019/02/26 10:30:10 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/02/26 10:30:10 | Launching a JVM...
INFO   | jvm 1    | 2019/02/26 10:30:11 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/02/26 10:30:11 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/02/26 10:30:11 | 
INFO   | jvm 1    | 2019/02/26 10:30:11 | Java Runtime: Oracle Corporation 1.8.0_161 C:\Program Files\Java\jdk1.8.0_161\jre
INFO   | jvm 1    | 2019/02/26 10:30:11 |   Heap sizes: current=125952k  free=115917k  max=932352k
INFO   | jvm 1    | 2019/02/26 10:30:11 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=LB7WiAWCNPW1KdBF -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=8144 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2019/02/26 10:30:11 | Extensions classpath:
INFO   | jvm 1    | 2019/02/26 10:30:11 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2019/02/26 10:30:11 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2019/02/26 10:30:11 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2019/02/26 10:30:11 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2019/02/26 10:30:11 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2019/02/26 10:30:11 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2019/02/26 10:30:11 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3357d3a1: startup date [Tue Feb 26 10:30:11 CST 2019]; root of context hierarchy
INFO   | jvm 1    | 2019/02/26 10:30:12 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[G:\ruanjian\develop\activemq_yuanma\activemq-parent-5.15.8\assembly\target\apache-activemq-5.15.8-bin\apache-activemq-5.15.8\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2019/02/26 10:30:13 |  INFO | PListStore:[G:\ruanjian\develop\activemq_yuanma\activemq-parent-5.15.8\assembly\target\apache-activemq-5.15.8-bin\apache-activemq-5.15.8\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2019/02/26 10:30:13 |  INFO | Apache ActiveMQ 5.15.8 (localhost, ID:ma-PC-13422-1551148213761-0:1) is starting
INFO   | jvm 1    | 2019/02/26 10:30:13 |  INFO | Listening for connections at: tcp://ma-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/02/26 10:30:13 |  INFO | Connector openwire started
INFO   | jvm 1    | 2019/02/26 10:30:13 |  INFO | Listening for connections at: amqp://ma-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Connector amqp started
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Listening for connections at: stomp://ma-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Connector stomp started
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Listening for connections at: mqtt://ma-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2019/02/26 10:30:14 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2019/02/26 10:30:14 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@4b12483c{/,null,STARTING} has uncovered http methods for path: /
